token,log_p_fake,log_p_real,log_odds
generar polemica,10.25459182970335,9.267584605307915,0.987007224395434
juan jo,9.862585070970827,8.876019948803691,0.9865651221671357
dirigente bng,10.393424321242259,9.409816978367807,0.9836073428744516
arenas,10.215248671375154,9.23405280234729,0.9811958690278644
dolor jordi,10.393424321242259,9.413279197701133,0.980145123541126
cs iniciativo,10.393424321242259,9.415224101749466,0.978200219492793
anunciar plan,10.330230521020752,9.352081897419469,0.9781486236012835
illueco,10.360726561953108,9.382687458786668,0.9780391031664397
generar intenso,10.393424321242259,9.418648316721876,0.9747760045203826
bng cs,10.393424321242259,9.41969627544935,0.9737280457929085
sanchezcamacho,10.339827969902148,9.366164476603762,0.9736634932983854
lluisa,10.393424321242259,9.42122683421848,0.9721974870237791
lluisa moret,10.393424321242259,9.42122683421848,0.9721974870237791
pau,9.831254391607859,8.863152762812273,0.9681016287955853
carlos arenas,10.317400647168999,9.349594597583295,0.9678060495857039
investidura cristina,10.393424321242259,9.42684123164357,0.9665830895986893
canarias bng,10.393424321242259,9.427629874123568,0.9657944471186912
psoe cup,10.393424321242259,9.427997884110964,0.9654264371312955
graells,10.296864026726332,9.33424004909716,0.962623977629173
hector illueco,10.360561614829063,9.398136839270878,0.9624247755581852
gonzalo perez,10.12924232298284,9.1680906411266,0.96115168185624
lider eajpnv,10.393424321242259,9.434224692701655,0.9591996285406044
garciajuan marin,10.393424321242259,9.435667263507936,0.9577570577343231
garciajuan,10.393424321242259,9.435667263507936,0.9577570577343231
escandalo,8.897765590830472,7.9406976244130325,0.9570679664174397
monicar,10.190237107578788,9.236016584839518,0.9542205227392699
castillo,10.000590097890365,9.047253091955712,0.9533370059346531
coalicion,7.590923100788205,6.63805512802335,0.9528679727648557
carlos arena,10.393424321242259,9.44127728331987,0.9521470379223889
varelo,10.393424321242259,9.442874723750498,0.9505495974917615
tania varelo,10.393424321242259,9.442874723750498,0.9505495974917615
ribar,10.393424321242259,9.444520773604902,0.9489035476373573
dirigente equo,10.393424321242259,9.44745556258556,0.9459687586566989
alicia sanchezcamacho,10.339560401849717,9.394253627832851,0.9453067740168652
