token,importance,mean_frequency,normalized_importance
julio ano,9.028836052239535e-07,5.16763104089009e-05,0.017471567271590063
acusar delito,1.746449377946632e-11,0.0,0.01746449377946632
madrid carlos,1.1109722980538676e-06,6.365115230318167e-05,0.017453805690060466
candidata coalicion,6.828684618187706e-07,3.9126813138429004e-05,0.017452252171693643
causante,6.65044307857239e-07,3.814446474072718e-05,0.017434426671100012
reaccion,2.9634626870613014e-06,0.00017001694383801815,0.01743029365114951
sordo,1.548529044171458e-06,8.893073783428572e-05,0.017412558012269673
historia reciente,2.5654896648189526e-06,0.00014745135474851203,0.01739877039735672
posicion gobierno,1.97080468164252e-06,0.00011331886949605484,0.017391519160822298
universal,3.1975194986613185e-06,0.0001838891240899852,0.01738820675925281
abril psoe,3.392982779220746e-07,1.9523894156436457e-05,0.01737772687542194
conexion,2.0575636299079957e-06,0.0001184152805877624,0.017375681956021783
bonificacion,1.7266105945380084e-06,9.936885978783975e-05,0.01737559656644801
fracaso,1.0263816013867876e-05,0.000590726817551326,0.01737486488517378
